op,ns,command,nbatches,cursorExhausted,numYield,keysExamined,responseLength,planSummary,docsExamined,nReturned,planningTimeMicros,execStats.Stage,execStats.executionTimeMillisEstimate,execStats.works,execStats.inputStage.indexName,execStats.inputStage.indexBounds,execStats.inputStage.seek
query,test.movies,"{""find"": ""movies"", ""filter"": {""genres"": ""History""}, ""lsid"": {""id"": ""a9b83bde6ad74d9dad03bbe89b55dd78""}, ""$db"": ""test""}",{},True,0,0,100,COLLSCAN,0,{},34744,{},0,1,{},{},{}
command,test.movies,"{""aggregate"": ""movies"", ""pipeline"": [{""$match"": {""year"": {""$gte"": ""2006""}}}, {""$group"": {""_id"": ""$year"", ""average_rating"": {""$avg"": ""$imdb.rating""}, ""count"": {""$sum"": ""1""}}}, {""$sort"": {""average_rating"": ""-1""}}, {""$limit"": ""10""}], ""cursor"": {}, ""lsid"": {""id"": ""a9b83bde6ad74d9dad03bbe89b55dd78""}, ""$db"": ""test""}",{},True,1,0,100,COLLSCAN,0,{},49674,{},{},{},{},{},{}
insert,test.movies,"{""insert"": ""movies"", ""ordered"": ""True"", ""lsid"": {""id"": ""a9b83bde6ad74d9dad03bbe89b55dd78""}, ""$db"": ""test""}",{},{},0,{},45,{},{},{},{},{},{},{},{},{},{}
