op,ns,command,nbatches,cursorExhausted,numYield,keysExamined,responseLength,planSummary,docsExamined,nReturned,planningTimeMicros,execStats.Stage,execStats.executionTimeMillisEstimate,execStats.works,execStats.inputStage.indexName,execStats.inputStage.indexBounds,execStats.inputStage.seek
query,mydatabase.movies,"{""find"": ""movies"", ""filter"": {""genres"": ""Adventure""}, ""lsid"": {""id"": ""9ba67f45bff14261b4873e8cdffe4400""}, ""$db"": ""mydatabase""}",{},{},1,101,169799,IXSCAN { genres: 1 },101,{},1257,{},17,101,genres_1,"{""genres"": [""[\""Adventure\"", \""Adventure\""]""]}",{}
getmore,mydatabase.movies,"{""getMore"": 7056281627780277878, ""collection"": ""movies"", ""lsid"": {""id"": ""9ba67f45bff14261b4873e8cdffe4400""}, ""$db"": ""mydatabase""}",{},True,7,1800,3193327,IXSCAN { genres: 1 },1800,{},{},{},121,1902,genres_1,"{""genres"": [""[\""Adventure\"", \""Adventure\""]""]}",{}
getmore,mydatabase.movies,"{""getMore"": 3493229477161849265, ""collection"": ""movies"", ""lsid"": {""id"": ""9ba67f45bff14261b4873e8cdffe4400""}, ""$db"": ""mydatabase""}",{},{},10,0,16776889,COLLSCAN,10440,{},{},{},7,20948,{},{},{}
command,mydatabase.movies,"{""aggregate"": ""movies"", ""pipeline"": [{""$match"": {""year"": {""$gte"": 1933}}}, {""$group"": {""_id"": ""$year"", ""average_rating"": {""$avg"": ""$imdb.rating""}, ""count"": {""$sum"": 1}}}, {""$sort"": {""average_rating"": -1}}, {""$limit"": 10}], ""cursor"": {}, ""lsid"": {""id"": ""9ba67f45bff14261b4873e8cdffe4400""}, ""$db"": ""mydatabase""}",{},True,21,21303,626,IXSCAN { year: 1 },21303,{},1330,{},{},{},{},{},{}
getmore,mydatabase.movies,"{""getMore"": 510812117645502084, ""collection"": ""movies"", ""lsid"": {""id"": ""9ba67f45bff14261b4873e8cdffe4400""}, ""$db"": ""mydatabase""}",{},{},10,10204,16776132,IXSCAN { genres: 1 },10204,{},{},{},1,10305,genres_1,"{""genres"": [""[\""Drama\"", \""Drama\""]""]}",{}
query,mydatabase.movies,"{""find"": ""movies"", ""filter"": {""title"": {""$regex"": "".*love.*""}}, ""lsid"": {""id"": ""9ba67f45bff14261b4873e8cdffe4400""}, ""$db"": ""mydatabase""}",{},True,21,21359,28107,IXSCAN { title: 1 },20,{},226,{},4,21360,title_1,"{""title"": [""[\""\"", {})"", ""[/.*love.*/, /.*love.*/]""]}",{}
command,mydatabase.movies,"{""aggregate"": ""movies"", ""pipeline"": [{""$group"": {""_id"": ""$year"", ""average_rating"": {""$avg"": ""$imdb.rating""}}}, {""$sort"": {""_id"": 1, ""runtime"": 1}}], ""cursor"": {}, ""lsid"": {""id"": ""9ba67f45bff14261b4873e8cdffe4400""}, ""$db"": ""mydatabase""}",{},{},21,0,4414,COLLSCAN,21359,{},58,{},{},{},{},{},{}
query,mydatabase.movies,"{""find"": ""movies"", ""filter"": {""year"": {""$gte"": 1930}, ""genres"": ""Comedy"", ""imdb.rating"": {""$gte"": 3.771132144703276}, ""imdb.votes"": {""$gt"": 1159514}}, ""lsid"": {""id"": ""9ba67f45bff14261b4873e8cdffe4400""}, ""$db"": ""mydatabase""}",{},True,12,2102,1087,"IXSCAN { year: 1, genres: 1, imdb.rating: -1, imdb.votes: -1 }",3,{},241,{},0,2103,year_genres_rating_votes_idx,"{""year"": [""[1930, inf.0]""], ""genres"": [""[\""Comedy\"", \""Comedy\""]""], ""imdb.rating"": [""[inf.0, 3.771132144703276]""], ""imdb.votes"": [""[inf.0, 1159514)""]}",{}
